Wavelength,sCone,mCone,lCone,rod,mel
380,NaN,NaN,NaN,0.000589,NaN
381,NaN,NaN,NaN,0.000665,NaN
382,NaN,NaN,NaN,0.000752,NaN
383,NaN,NaN,NaN,0.000854,NaN
384,NaN,NaN,NaN,0.000972,NaN
385,NaN,NaN,NaN,0.001108,NaN
386,NaN,NaN,NaN,0.001268,NaN
387,NaN,NaN,NaN,0.001453,NaN
388,NaN,NaN,NaN,0.001668,NaN
389,NaN,NaN,NaN,0.001918,NaN
390,0.006142781,0.000125271,0.000282432,0.002209,0.001191918
391,0.00744291,0.000153396,0.000344407,0.002547,0.001436991
392,0.00901669,0.000187515,0.000418983,0.002939,0.001732121
393,0.010917167,0.00022872,0.000508322,0.003394,0.002087185
394,0.013205577,0.000278236,0.000614745,0.003921,0.002513863
395,0.015951735,0.00033739,0.000740821,0.00453,0.003025909
396,0.019235281,0.000407651,0.000889245,0.00524,0.003639591
397,0.023144035,0.000490498,0.001062754,0.00605,0.00437378
398,0.027775202,0.000587447,0.001264091,0.00698,0.00525049
399,0.033234139,0.000700014,0.001495893,0.00806,0.006295552
400,0.039631416,0.0008295,0.001760405,0.00929,0.007538417
401,0.047080452,0.00097715,0.002059747,0.0107,0.009012277
402,0.055701446,0.001144809,0.002397283,0.01231,0.010751593
403,0.065614394,0.001334641,0.00277699,0.01413,0.012791618
404,0.076933934,0.001549233,0.003203647,0.01619,0.015167795
405,0.089762103,0.001791524,0.003682957,0.01852,0.017914031
406,0.104187558,0.002064748,0.004220509,0.02113,0.021062241
407,0.120273758,0.002370905,0.004817434,0.02405,0.024646252
408,0.138045343,0.002711015,0.005471083,0.0273,0.028698221
409,0.157486435,0.003085228,0.006175453,0.03089,0.033245187
410,0.178533143,0.003492846,0.006920641,0.03484,0.038309558
411,0.201077709,0.003932294,0.007694535,0.03916,0.043907134
412,0.225094266,0.004404354,0.008495118,0.0439,0.050063873
413,0.250570509,0.004910537,0.009324628,0.049,0.05680737
414,0.277510581,0.005453257,0.010188346,0.0545,0.064167594
415,0.305944566,0.006035504,0.01109485,0.0604,0.072175216
416,0.335857616,0.006660393,0.012052947,0.0668,0.080853872
417,0.36698366,0.007327616,0.01305704,0.0736,0.09017445
418,0.398880949,0.008034547,0.014095635,0.0808,0.10006844
419,0.431007819,0.008777903,0.015153383,0.0885,0.110435988
420,0.462697046,0.009552407,0.016210031,0.0966,0.121135321
421,0.493356464,0.010353064,0.017249815,0.1052,0.132035443
422,0.523013877,0.011181436,0.018275371,0.1141,0.143155735
423,0.551951938,0.012041053,0.019299378,0.1235,0.154588394
